Transaction_ID,Date,Store_Location,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount,Revenue,Inventory_Level,Supplier,Customer_Segment,Sales_to_Stock_Ratio
TXN00000,2024-09-02,Mombasa,fashion,Graphic T-shirt,2.0,2593.29,5.0,50965.44,478.0,ABC Ltd,retail,0.0041753653444676405
TXN00001,2024-07-08,Nakuru,electronics,Bluetooth wireless earbuds,27.0,2593.29,15.0,50965.44,478.0,Prime Supply,wholesale,0.05636743215031315
TXN00002,2024-12-15,Kisumu,fashion,Graphic T-shirt,13.0,2593.29,10.0,50965.44,814.0,XYZ Traders,retail,0.015950920245398775
TXN00003,2025-03-14,Nairobi,fashion,Graphic T-shirt,27.0,1049.97,10.0,50965.44,478.0,Unknown,retail,0.05636743215031315
TXN00004,2025-01-12,Eldoret,grocery,Fresh Bananas,30.0,2593.29,10.0,50965.44,861.0,ABC Ltd,retail,0.03480278422273782
Unknown,2024-06-09,Kisumu,electronics,Bluetooth wireless earbuds,30.0,2593.29,10.0,50965.44,979.0,Unknown,wholesale,0.030612244897959183
Unknown,2024-08-19,Mombasa,grocery,Fresh Bananas,32.0,2593.29,10.0,50965.44,307.0,ABC Ltd,vip,0.1038961038961039
Unknown,2025-01-14,Mombasa,grocery,Fresh Bananas,27.0,664.2,20.0,25657.61,478.0,ABC Ltd,retail,0.05636743215031315
Unknown,2024-07-15,Nairobi,home,Air Fryer,27.0,636.23,0.0,72339.6,478.0,Prime Supply,retail,0.05636743215031315
TXN00009,2024-07-25,Nairobi,home,Air Fryer,25.0,2593.29,10.0,14596.65,865.0,Unknown,retail,0.028868360277136258
Unknown,2025-02-11,Nakuru,grocery,Fresh Bananas,33.0,2593.29,0.0,50965.44,478.0,XYZ Traders,retail,0.06889352818371608
TXN00011,2024-10-12,Nairobi,fashion,Graphic T-shirt,27.0,2593.29,10.0,50965.44,810.0,Prime Supply,wholesale,0.03329223181257707
TXN00012,2024-09-22,Mombasa,grocery,Fresh Bananas,29.0,2593.29,10.0,3359.19,500.0,XYZ Traders,vip,0.05788423153692615
TXN00013,2025-11-06,Mombasa,electronics,Bluetooth wireless earbuds,27.0,1057.81,10.0,94026.91,845.0,ABC Ltd,retail,0.031914893617021274
TXN00014,2024-06-02,Kisumu,grocery,Fresh Bananas,20.0,2593.29,5.0,5926.63,616.0,Prime Supply,retail,0.03241491085899514
