Transaction_ID,Date,Store_Location,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Discount,Revenue,Inventory_Level,Supplier,Customer_Segment
TXN00000,2024-09-02,Mombasa,fashion,Until,2,,5,,,ABC Ltd,retail
TXN00001,2024-07-08,Nakuru,electronics,Learn,,,15,,,Prime Supply,Wholesale
TXN00002,2024-12-15,Kisumu,Fashion,Natural,13,,10,,814,XYZ Traders,Retail
TXN00003,2025-03-14,Nairobi,fashion,Key,,1049.97,10,,,,Retail
TXN00004,2025-01-12,Eldoret,Grocery,Country,30,,N/A,,861,ABC Ltd,Retail
,2024-06-09,Kisumu,Electronics,Offer,30,,N/A,,979,,Wholesale
,2024-08-19,Mombasa,Grocery,Drive,32,,,,307,ABC Ltd,VIP
,2025-01-14,Mombasa,Grocery,North,,664.2,20,25657.61,,ABC Ltd,retail
,2024-07-15,Nairobi,Home,True,,636.23,0,72339.6,,Prime Supply,retail
TXN00009,2024-07-25,Nairobi,Home,Strategy,25,,,14596.65,865,,Retail
,2025-02-11,Nakuru,Grocery,Around,33,,0,,,XYZ Traders,retail
TXN00011,2024-10-12,Nairobi,Fashion,The,27,,,,810,Prime Supply,Wholesale
TXN00012,2024-09-22,Mombasa,Groceries,Heavy,29,,N/A,3359.19,500,XYZ Traders,VIP
TXN00013,2025-11-06,Mombasa,electronics,Begin,,1057.81,,94026.91,845,ABC Ltd,Retail
TXN00014,2024-06-02,Kisumu,Grocery,Health,20,,5,5926.63,616,Prime Supply,Retail
TXN00015,2025-02-07,Eldoret,Electronics,Nature,,,15,69449.43,690,ABC Ltd,retail
TXN00016,2024-07-10,Mombasa,Electronics,Four,,,20,96575.43,831,ABC Ltd,Wholesale
TXN00017,2024-09-24,Mombasa,electronics,Still,,,15,30448.93,378,Prime Supply,VIP
,2025-11-12,Nakuru,Groceries,Another,,,20,,,,Wholesale
,2025-08-23,Nairobi,fashion,Ago,34,,0,40251.88,,ABC Ltd,Retail
TXN00020,2024-07-16,Nakuru,Groceries,Five,,,5,,577,XYZ Traders,Wholesale
TXN00021,2025-11-07,Mombasa,Fashion,Information,37,,5,,,,retail
TXN00022,2024-03-05,Eldoret,Electronics,Nice,,4834.51,N/A,64246.24,,ABC Ltd,VIP
TXN00023,2025-02-07,Mombasa,Electronics,Alone,,2676.18,0,61835.71,,XYZ Traders,VIP
,2025-08-10,Nairobi,Groceries,Then,28,,15,20239.65,,ABC Ltd,retail
TXN00025,2024-02-09,Nairobi,fashion,Certain,,,N/A,73327.28,707,Prime Supply,retail
TXN00026,2025-03-28,Mombasa,Electronics,Often,29,,10,28470.67,,ABC Ltd,retail
TXN00027,2025-04-01,Mombasa,Grocery,Million,,,15,,,Prime Supply,retail
,2024-01-04,Kisumu,Fashion,Beautiful,,,5,2033.58,,Prime Supply,Wholesale
,2024-02-14,Nairobi,Grocery,Thousand,25,,N/A,,,,retail
TXN00030,2025-08-06,Kisumu,Electronics,Anyone,,,15,,,Prime Supply,Wholesale
